M;241.00;241.00;#;;
J;135.00;135.00;#;;
J;249.00;249.00;#;;
A;123.00;123.00;#;;
S;205.00;205.00;#;;
O;289.00;289.00;#;;
N;310.00;310.00;#;;
D;739.00;739.00;#;;

Statistiques;
;;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;1909
Ecoulement mensuel;Validité;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;;
;Débit moyen (m3/s);368.00;246.00;499.00;518.00;241.00;135.00;249.00;123.00;205.00;289.00;310.00;739.00;328.00;
;Débit moyen spécifique (l/s/km2);8.40;5.62;11.40;11.80;5.50;3.07;5.68;2.80;4.67;6.60;7.09;16.90;7.48;
;Lame d'eau (mm);22.50;13.60;30.50;30.70;14.70;8.00;15.20;7.50;12.10;17.70;18.40;45.20;236.00;
;
Ecoulement naturel reconstitué;Débit moyen (m3/s);368.00;246.00;499.00;518.00;241.00;135.00;249.00;123.00;205.00;289.00;310.00;739.00;328.00;
;Débit moyen spécifique (l/s/km2);8.40;5.62;11.40;11.80;5.50;3.07;5.68;2.80;4.67;6.60;7.09;16.90;7.48;
;Lame d'eau (mm);22.50;13.60;30.50;30.70;14.70;8.00;15.20;7.50;12.10;17.70;18.40;45.20;236.00;
;
Maximum instantané;Débit (m3/s);624.00;348.00;950.00;953.00;415.00;245.00;407.00;166.00;465.00;520.00;520.00;1030.00;1030.00;
;Date;19/01/1909 08:00;14/02/1909 08:00;31/03/1909 23:59;01/04/1909 08:00;01/05/1909 08:00;17/06/1909 08:00;18/07/1909 08:00;01/08/1909 00:01;14/09/1909 15:00;30/10/1909 15:00;03/11/1909 15:00;31/12/1909 15:00;31/12/1909 15:00;
;Hauteur (cm);202.00;130.00;311.00;312.00;144.00;116.00;142.00;103.00;155.00;170.00;170.00;345.00;345.00;
;Date;19/01/1909 08:00;14/02/1909 08:00;31/03/1909 23:59;01/04/1909 08:00;01/05/1909 08:00;17/06/1909 08:00;18/07/1909 08:00;01/08/1909 00:01;14/09/1909 15:00;30/10/1909 15:00;03/11/1909 15:00;31/12/1909 15:00;31/12/1909 15:00;
;

Débits journaliers;
Jour/Mois;Janvier;;Février;;Mars;;Avril;;Mai;;Juin;;Juillet;;Août;;Septembre;;Octobre;;Novembre;;Décembre;;
;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;
1;483.00;Estimé;224.00;Estimé;122.00;Estimé;947.00;;404.00;Estimé;133.00;Estimé;131.00;Estimé;154.00;Estimé;129.00;Estimé;137.00;Estimé;486.00;Estimé;172.00;Estimé;
2;364.00;Estimé;210.00;Estimé;130.00;Estimé;948.00;;377.00;Estimé;133.00;Estimé;140.00;Estimé;138.00;Estimé;136.00;Estimé;148.00;Estimé;375.00;Estimé;201.00;Estimé;
3;175.00;Estimé;246.00;Estimé;145.00;Estimé;928.00;;402.00;Estimé;131.00;Estimé;135.00;Estimé;131.00;Estimé;135.00;Estimé;242.00;Estimé;481.00;Estimé;387.00;Estimé;
4;128.00;Estimé;224.00;Estimé;153.00;Estimé;893.00;;370.00;Estimé;136.00;Estimé;135.00;Estimé;113.00;Estimé;116.00;Estimé;190.00;Estimé;458.00;Estimé;625.00;;
5;169.00;Estimé;231.00;Estimé;140.00;Estimé;831.00;;383.00;Estimé;121.00;Estimé;131.00;Estimé;141.00;Estimé;114.00;Estimé;197.00;Estimé;386.00;Estimé;753.00;;
6;169.00;Estimé;248.00;Estimé;130.00;Estimé;784.00;;356.00;Estimé;116.00;Estimé;134.00;Estimé;124.00;Estimé;113.00;Estimé;240.00;Estimé;335.00;Estimé;802.00;;
7;138.00;Estimé;310.00;Estimé;134.00;Estimé;724.00;;341.00;Estimé;108.00;Estimé;178.00;Estimé;114.00;Estimé;115.00;Estimé;355.00;Estimé;267.00;Estimé;902.00;;
8;156.00;Estimé;326.00;Estimé;135.00;Estimé;684.00;;345.00;Estimé;115.00;Estimé;153.00;Estimé;118.00;Estimé;115.00;Estimé;370.00;Estimé;248.00;Estimé;879.00;;
9;217.00;Estimé;316.00;Estimé;152.00;Estimé;633.00;;309.00;Estimé;126.00;Estimé;174.00;Estimé;112.00;Estimé;116.00;Estimé;389.00;Estimé;210.00;Estimé;871.00;;
10;209.00;Estimé;277.00;Estimé;204.00;Estimé;595.00;;237.00;Estimé;146.00;Estimé;233.00;Estimé;105.00;Estimé;117.00;Estimé;447.00;Estimé;188.00;Estimé;859.00;;
11;149.00;Estimé;270.00;Estimé;194.00;Estimé;528.00;;320.00;Estimé;142.00;Estimé;267.00;Estimé;130.00;Estimé;144.00;Estimé;391.00;Estimé;146.00;Estimé;868.00;;
12;179.00;Estimé;300.00;Estimé;367.00;Estimé;538.00;;316.00;Estimé;142.00;Estimé;296.00;Estimé;129.00;Estimé;281.00;Estimé;399.00;Estimé;171.00;Estimé;852.00;;
13;221.00;Estimé;330.00;Estimé;394.00;Estimé;523.00;;266.00;Estimé;139.00;Estimé;325.00;Estimé;133.00;Estimé;267.00;Estimé;420.00;Estimé;151.00;Estimé;808.00;;
14;194.00;Estimé;345.00;Estimé;491.00;Estimé;483.00;Estimé;216.00;Estimé;130.00;Estimé;357.00;Estimé;123.00;Estimé;425.00;Estimé;407.00;Estimé;151.00;Estimé;732.00;;
15;472.00;Estimé;327.00;Estimé;528.00;;464.00;Estimé;193.00;Estimé;139.00;Estimé;329.00;Estimé;113.00;Estimé;361.00;Estimé;380.00;Estimé;155.00;Estimé;651.00;;
16;560.00;;271.00;Estimé;561.00;;451.00;Estimé;191.00;Estimé;175.00;Estimé;339.00;Estimé;118.00;Estimé;303.00;Estimé;396.00;Estimé;202.00;Estimé;687.00;;
17;575.00;;243.00;Estimé;559.00;;449.00;Estimé;217.00;Estimé;231.00;Estimé;385.00;Estimé;125.00;Estimé;357.00;Estimé;377.00;Estimé;424.00;Estimé;656.00;;
18;594.00;;272.00;Estimé;548.00;;411.00;Estimé;203.00;Estimé;181.00;Estimé;405.00;Estimé;108.00;Estimé;356.00;Estimé;346.00;Estimé;425.00;Estimé;653.00;;
19;618.00;;255.00;Estimé;517.00;;365.00;Estimé;164.00;Estimé;118.00;Estimé;402.00;Estimé;111.00;Estimé;208.00;Estimé;269.00;Estimé;397.00;Estimé;679.00;;
20;590.00;;230.00;Estimé;597.00;;373.00;Estimé;206.00;Estimé;130.00;Estimé;403.00;Estimé;108.00;Estimé;245.00;Estimé;219.00;Estimé;375.00;Estimé;714.00;;
21;594.00;;217.00;Estimé;751.00;;297.00;Estimé;216.00;Estimé;122.00;Estimé;403.00;Estimé;108.00;Estimé;257.00;Estimé;213.00;Estimé;432.00;Estimé;800.00;;
22;599.00;;200.00;Estimé;733.00;;353.00;Estimé;200.00;Estimé;122.00;Estimé;373.00;Estimé;119.00;Estimé;237.00;Estimé;214.00;Estimé;419.00;Estimé;797.00;;
23;577.00;;189.00;Estimé;749.00;;339.00;Estimé;170.00;Estimé;112.00;Estimé;307.00;Estimé;144.00;Estimé;206.00;Estimé;160.00;Estimé;405.00;Estimé;767.00;;
24;556.00;;229.00;Estimé;773.00;;283.00;Estimé;150.00;Estimé;114.00;Estimé;218.00;Estimé;132.00;Estimé;204.00;Estimé;159.00;Estimé;368.00;Estimé;787.00;;
25;549.00;;179.00;Estimé;806.00;;226.00;Estimé;129.00;Estimé;133.00;Estimé;265.00;Estimé;121.00;Estimé;227.00;Estimé;187.00;Estimé;373.00;Estimé;782.00;;
26;506.00;Estimé;138.00;Estimé;886.00;;202.00;Estimé;140.00;Estimé;147.00;Estimé;238.00;Estimé;120.00;Estimé;201.00;Estimé;164.00;Estimé;340.00;Estimé;792.00;;
27;421.00;Estimé;155.00;Estimé;916.00;;210.00;Estimé;120.00;Estimé;119.00;Estimé;198.00;Estimé;119.00;Estimé;157.00;Estimé;142.00;Estimé;287.00;Estimé;803.00;;
28;410.00;Estimé;128.00;Estimé;903.00;;251.00;Estimé;137.00;Estimé;111.00;Estimé;161.00;Estimé;121.00;Estimé;195.00;Estimé;158.00;Estimé;242.00;Estimé;812.00;;
29;298.00;Estimé;;;902.00;;421.00;Estimé;145.00;Estimé;124.00;Estimé;158.00;Estimé;130.00;Estimé;163.00;Estimé;317.00;Estimé;218.00;Estimé;869.00;;
30;294.00;Estimé;;;922.00;;406.00;Estimé;131.00;Estimé;138.00;Estimé;163.00;Estimé;120.00;Estimé;138.00;Estimé;486.00;Estimé;200.00;Estimé;936.00;;
31;245.00;Estimé;;;941.00;;;;119.00;Estimé;;;176.00;Estimé;127.00;Estimé;;;441.00;Estimé;;;999.00;;
Procédure : QJM - Année : 1910

Code station;Libellé station;Bassin versant (km²);Producteur;E-mail;
H5920011;La Seine à Paris [Austerlitz avant création lacs];43800;DRIEE IDF;marc.valente@developpement-durable.gouv.fr;

Année;1910;
;
Débits mensuels en m3/s;
;QMM;QMN;V;
J;1300.00;1300.00;#;;
F;1520.00;1520.00;#;;
M;921.00;921.00;#;;
A;460.00;460.00;#;;
M;645.00;645.00;#;;
J;634.00;634.00;#;;
J;801.00;801.00;#;;
A;365.00;365.00;#;;
S;202.00;202.00;#;;
O;148.00;148.00;#;;
N;1180.00;1180.00;#;;
D;1230.00;1230.00; ;;

Statistiques;
;;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;1910
Ecoulement mensuel;Validité;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;;;
;Débit moyen (m3/s);1300.00;1520.00;921.00;460.00;645.00;634.00;801.00;365.00;202.00;148.00;1180.00;1230.00;780.00;
;Débit moyen spécifique (l/s/km2);29.70;34.80;21.00;10.50;14.70;14.50;18.30;8.33;4.62;3.38;27.00;28.10;17.80;
;Lame d'eau (mm);79.40;84.20;56.30;27.20;39.40;37.50;49.00;22.30;12.00;9.10;70.00;75.20;562.00;
;
Ecoulement naturel reconstitué;Débit moyen (m3/s);1300.00;1520.00;921.00;460.00;645.00;634.00;801.00;365.00;202.00;148.00;1180.00;1230.00;780.00;
;Débit moyen spécifique (l/s/km2);29.70;34.80;21.00;10.50;14.70;14.50;18.30;8.33;4.62;3.38;27.00;28.10;17.80;
;Lame d'eau (mm);79.40;84.20;56.30;27.20;39.40;37.50;49.00;22.30;12.00;9.10;70.00;75.20;562.00;
;
Maximum instantané;Débit (m3/s);2650.00;2330.00;1620.00;618.00;1000.00;902.00;998.00;715.00;348.00;238.00;1730.00;1380.00;2650.00;
;Date;28/01/1910 12:00;01/02/1910 00:01;01/03/1910 17:00;16/04/1910 15:00;15/05/1910 15:00;18/06/1910 08:00;17/07/1910 08:00;02/08/1910 15:00;02/09/1910 08:00;16/10/1910 08:00;20/11/1910 11:00;01/12/1910 08:00;28/01/1910 12:00;
;Hauteur (cm);862.00;775.00;561.00;200.00;332.00;294.00;331.00;230.00;130.00;115.00;597.00;480.00;862.00;
;Date;28/01/1910 12:00;01/02/1910 00:01;01/03/1910 17:00;16/04/1910 15:00;15/05/1910 15:00;18/06/1910 08:00;17/07/1910 08:00;02/08/1910 15:00;02/09/1910 08:00;16/10/1910 08:00;20/11/1910 11:00;01/12/1910 08:00;28/01/1910 12:00;
;

Débits journaliers;
Jour/Mois;Janvier;;Février;;Mars;;Avril;;Mai;;Juin;;Juillet;;Août;;Septembre;;Octobre;;Novembre;;Décembre;;
;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;
1;991.00;;2260.00;Estimé;1600.00;Estimé;486.00;Estimé;373.00;Estimé;575.00;;661.00;;545.00;;272.00;Estimé;163.00;Estimé;234.00;Estimé;1380.00;;
2;935.00;;2110.00;Estimé;1600.00;Estimé;428.00;Estimé;350.00;Estimé;524.00;;683.00;;685.00;;331.00;Estimé;183.00;Estimé;454.00;Estimé;1370.00;;
3;891.00;;1900.00;Estimé;1550.00;Estimé;427.00;Estimé;354.00;Estimé;565.00;;710.00;;623.00;;270.00;Estimé;154.00;Estimé;538.00;Estimé;1300.00;;
4;865.00;;1640.00;Estimé;1500.00;Estimé;414.00;Estimé;380.00;Estimé;570.00;;733.00;;583.00;;224.00;Estimé;144.00;Estimé;612.00;;1240.00;;
5;840.00;;1430.00;Estimé;1460.00;;437.00;Estimé;395.00;Estimé;581.00;;770.00;;479.00;Estimé;222.00;Estimé;134.00;Estimé;666.00;;1230.00;;
6;810.00;;1320.00;;1420.00;;472.00;Estimé;383.00;Estimé;584.00;;812.00;;418.00;Estimé;255.00;Estimé;120.00;Estimé;699.00;;1260.00;;
7;744.00;;1300.00;;1360.00;;465.00;Estimé;404.00;Estimé;565.00;;893.00;;410.00;Estimé;210.00;Estimé;106.00;Estimé;760.00;;1290.00;;
8;722.00;;1330.00;;1280.00;;463.00;Estimé;431.00;Estimé;521.00;;964.00;;434.00;Estimé;214.00;Estimé;122.00;Estimé;893.00;;1280.00;;
9;694.00;;1380.00;;1180.00;;442.00;Estimé;476.00;Estimé;547.00;;975.00;;426.00;Estimé;229.00;Estimé;124.00;Estimé;959.00;;1270.00;;
10;655.00;;1450.00;Estimé;1090.00;;423.00;Estimé;518.00;;498.00;Estimé;980.00;;431.00;Estimé;214.00;Estimé;115.00;Estimé;1010.00;;1260.00;;
11;619.00;;1510.00;Estimé;1000.00;;401.00;Estimé;589.00;;458.00;Estimé;983.00;;420.00;Estimé;231.00;Estimé;120.00;Estimé;1130.00;;1260.00;;
12;601.00;;1560.00;Estimé;937.00;;415.00;Estimé;708.00;;500.00;Estimé;953.00;;473.00;Estimé;230.00;Estimé;138.00;Estimé;1340.00;;1250.00;;
13;673.00;;1550.00;Estimé;907.00;;413.00;Estimé;910.00;;604.00;;910.00;;425.00;Estimé;215.00;Estimé;136.00;Estimé;1440.00;;1210.00;;
14;775.00;;1530.00;Estimé;862.00;;429.00;Estimé;929.00;;634.00;;864.00;;348.00;Estimé;229.00;Estimé;153.00;Estimé;1480.00;Estimé;1150.00;;
15;785.00;;1560.00;Estimé;824.00;;521.00;Estimé;989.00;;769.00;;918.00;;312.00;Estimé;213.00;Estimé;188.00;Estimé;1500.00;Estimé;1100.00;;
16;772.00;;1600.00;Estimé;801.00;;606.00;;950.00;;871.00;;968.00;;298.00;Estimé;220.00;Estimé;207.00;Estimé;1470.00;;1140.00;;
17;802.00;;1620.00;Estimé;758.00;;602.00;;846.00;;863.00;;993.00;;315.00;Estimé;201.00;Estimé;139.00;Estimé;1510.00;Estimé;1220.00;;
18;869.00;;1590.00;Estimé;703.00;;567.00;;730.00;;898.00;;965.00;;236.00;Estimé;178.00;Estimé;148.00;Estimé;1650.00;Estimé;1310.00;;
19;957.00;;1520.00;Estimé;706.00;;514.00;;610.00;;866.00;;921.00;;285.00;Estimé;176.00;Estimé;149.00;Estimé;1710.00;Estimé;1330.00;;
20;1160.00;;1410.00;;699.00;;486.00;Estimé;614.00;;733.00;;903.00;;211.00;Estimé;176.00;Estimé;154.00;Estimé;1720.00;Estimé;1300.00;;
21;1440.00;Estimé;1300.00;;692.00;;442.00;Estimé;689.00;;644.00;;866.00;;196.00;Estimé;170.00;Estimé;181.00;Estimé;1700.00;Estimé;1280.00;;
22;1720.00;Estimé;1280.00;;670.00;;407.00;Estimé;756.00;;572.00;;803.00;;178.00;Estimé;155.00;Estimé;192.00;Estimé;1630.00;Estimé;1260.00;;
23;1850.00;Estimé;1320.00;;642.00;;427.00;Estimé;806.00;;482.00;Estimé;777.00;;197.00;Estimé;168.00;Estimé;144.00;Estimé;1490.00;Estimé;1210.00;;
24;2000.00;Estimé;1380.00;;592.00;;454.00;Estimé;824.00;;568.00;;725.00;;304.00;Estimé;153.00;Estimé;127.00;Estimé;1330.00;;1160.00;;
25;2120.00;Estimé;1410.00;;575.00;;448.00;Estimé;824.00;;632.00;;694.00;;391.00;Estimé;159.00;Estimé;159.00;Estimé;1220.00;;1130.00;;
26;2280.00;Estimé;1430.00;;534.00;;462.00;Estimé;775.00;;660.00;;637.00;;344.00;Estimé;136.00;Estimé;137.00;Estimé;1180.00;;1120.00;;
27;2500.00;Estimé;1440.00;;535.00;;444.00;Estimé;714.00;;681.00;;622.00;;231.00;Estimé;117.00;Estimé;155.00;Estimé;1190.00;;1130.00;;
28;2640.00;Estimé;1510.00;Estimé;536.00;;442.00;Estimé;666.00;;682.00;;633.00;;279.00;Estimé;179.00;Estimé;172.00;Estimé;1260.00;;1160.00;;
29;2620.00;Estimé;;;526.00;;437.00;Estimé;686.00;;689.00;;521.00;;278.00;Estimé;146.00;Estimé;148.00;Estimé;1340.00;;1170.00;;
30;2530.00;Estimé;;;500.00;;412.00;Estimé;679.00;;674.00;;488.00;Estimé;278.00;Estimé;172.00;Estimé;137.00;Estimé;1380.00;;1190.00;;
31;2390.00;Estimé;;;503.00;;;;638.00;;;;498.00;Estimé;271.00;Estimé;;;137.00;Estimé;;;1170.00;;
Procédure : QJM - Année : 1911

Code station;Libellé station;Bassin versant (km²);Producteur;E-mail;
H5920011;La Seine à Paris [Austerlitz avant création lacs];43800;DRIEE IDF;marc.valente@developpement-durable.gouv.fr;

Année;1911;
;
Débits mensuels en m3/s;
;QMM;QMN;V;
J;765.00;765.00; ;;
F;399.00;399.00;#;;
M;578.00;578.00; ;;
A;306.00;306.00;#;;
M;156.00;156.00;#;;
J;146.00;146.00;#;;
J;121.00;121.00;#;;
A;116.00;116.00;#;;
S;;;;;
O;114.00;114.00;#;;
N;249.00;249.00;#;;
D;698.00;698.00; ;;

Statistiques;
;;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;1911
Ecoulement mensuel;Validité;;Estimé;;Estimé;Estimé;Estimé;Estimé;Estimé;;Estimé;Estimé;;;
;Débit moyen (m3/s);765.00;399.00;578.00;306.00;156.00;146.00;121.00;116.00;;114.00;249.00;698.00;;
;Débit moyen spécifique (l/s/km2);17.50;9.12;13.20;6.98;3.57;3.34;2.76;2.64;;2.60;5.68;15.90;;
;Lame d'eau (mm);46.80;22.10;35.30;18.10;9.60;8.70;7.40;7.10;;7.00;14.70;42.70;;
;
Ecoulement naturel reconstitué;Débit moyen (m3/s);765.00;399.00;578.00;306.00;156.00;146.00;121.00;116.00;;114.00;249.00;698.00;;
;Débit moyen spécifique (l/s/km2);17.50;9.12;13.20;6.98;3.57;3.34;2.76;2.64;;2.60;5.68;15.90;;
;Lame d'eau (mm);46.80;22.10;35.30;18.10;9.60;8.70;7.40;7.10;;7.00;14.70;42.70;;
;
Maximum instantané;Débit (m3/s);1140.00;666.00;650.00;583.00;207.00;207.00;176.00;294.00;113.00;195.00;657.00;991.00;;
;Date;01/01/1911 00:01;27/02/1911 15:00;18/03/1911 08:00;01/04/1911 00:01;02/05/1911 08:00;06/06/1911 08:00;01/07/1911 08:00;13/08/1911 08:00;30/09/1911 23:59;29/10/1911 08:00;25/11/1911 15:00;28/12/1911 15:00; ;
;Hauteur (cm);389.00;215.00;210.00;189.00;110.00;110.00;105.00;122.00;88.70;108.00;212.00;328.00;389.00;
;Date;01/01/1911 00:01;27/02/1911 15:00;18/03/1911 08:00;01/04/1911 00:01;02/05/1911 08:00;06/06/1911 08:00;01/07/1911 08:00;13/08/1911 08:00;30/09/1911 23:59;29/10/1911 08:00;25/11/1911 15:00;28/12/1911 15:00;01/01/1911 00:01;
;

Débits journaliers;
Jour/Mois;Janvier;;Février;;Mars;;Avril;;Mai;;Juin;;Juillet;;Août;;Septembre;;Octobre;;Novembre;;Décembre;;
;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;
1;1110.00;;492.00;Estimé;581.00;;555.00;;174.00;Estimé;127.00;Estimé;158.00;Estimé;103.00;Estimé;;Inconnu faible;112.00;Estimé;101.00;Estimé;652.00;;
2;1060.00;;446.00;Estimé;590.00;;520.00;;205.00;Estimé;167.00;Estimé;137.00;Estimé;113.00;Estimé;;Inconnu faible;110.00;Estimé;108.00;Estimé;642.00;;
3;1050.00;;434.00;Estimé;634.00;;493.00;;207.00;Estimé;162.00;Estimé;147.00;Estimé;109.00;Estimé;;Inconnu faible;113.00;Estimé;122.00;Estimé;593.00;;
4;1030.00;;413.00;Estimé;620.00;;488.00;;207.00;Estimé;153.00;Estimé;144.00;Estimé;112.00;Estimé;;Inconnu faible;109.00;Estimé;112.00;Estimé;602.00;;
5;1010.00;;430.00;Estimé;590.00;;488.00;;207.00;Estimé;128.00;Estimé;147.00;Estimé;136.00;Estimé;;Inconnu faible;103.00;Estimé;115.00;Estimé;603.00;;
6;963.00;;435.00;Estimé;614.00;;480.00;Estimé;204.00;Estimé;186.00;Estimé;137.00;Estimé;109.00;Estimé;;Inconnu faible;111.00;Estimé;113.00;Estimé;568.00;;
7;891.00;;414.00;Estimé;600.00;;415.00;Estimé;187.00;Estimé;157.00;Estimé;132.00;Estimé;98.70;Estimé;;Inconnu faible;113.00;Estimé;119.00;Estimé;569.00;;
8;890.00;;415.00;Estimé;570.00;;406.00;Estimé;158.00;Estimé;168.00;Estimé;135.00;Estimé;107.00;Estimé;;Inconnu faible;105.00;Estimé;118.00;Estimé;562.00;;
9;846.00;;424.00;Estimé;549.00;;399.00;Estimé;146.00;Estimé;146.00;Estimé;145.00;Estimé;114.00;Estimé;;Inconnu faible;102.00;Estimé;114.00;Estimé;610.00;;
10;827.00;;369.00;Estimé;527.00;;382.00;Estimé;132.00;Estimé;131.00;Estimé;157.00;Estimé;111.00;Estimé;;Inconnu faible;108.00;Estimé;110.00;Estimé;684.00;;
11;853.00;;342.00;Estimé;508.00;;365.00;Estimé;135.00;Estimé;121.00;Estimé;116.00;Estimé;108.00;Estimé;;Inconnu faible;113.00;Estimé;108.00;Estimé;710.00;;
12;890.00;;329.00;Estimé;495.00;;356.00;Estimé;147.00;Estimé;114.00;Estimé;108.00;Estimé;130.00;Estimé;;Inconnu faible;110.00;Estimé;110.00;Estimé;688.00;;
13;908.00;;322.00;Estimé;489.00;;302.00;Estimé;139.00;Estimé;145.00;Estimé;110.00;Estimé;244.00;Estimé;;Inconnu faible;109.00;Estimé;110.00;Estimé;748.00;;
14;870.00;;341.00;Estimé;493.00;;211.00;Estimé;133.00;Estimé;140.00;Estimé;105.00;Estimé;158.00;Estimé;;Inconnu faible;112.00;Estimé;112.00;Estimé;772.00;;
15;813.00;;323.00;Estimé;553.00;;341.00;Estimé;146.00;Estimé;136.00;Estimé;106.00;Estimé;132.00;Estimé;;Inconnu faible;107.00;Estimé;114.00;Estimé;734.00;;
16;755.00;;323.00;Estimé;584.00;;356.00;Estimé;137.00;Estimé;144.00;Estimé;114.00;Estimé;125.00;Estimé;;Inconnu faible;113.00;Estimé;113.00;Estimé;660.00;;
17;708.00;;310.00;Estimé;599.00;;336.00;Estimé;136.00;Estimé;135.00;Estimé;122.00;Estimé;116.00;Estimé;;Inconnu faible;111.00;Estimé;122.00;Estimé;686.00;;
18;675.00;;303.00;Estimé;640.00;;262.00;Estimé;153.00;Estimé;146.00;Estimé;123.00;Estimé;132.00;Estimé;;Inconnu faible;113.00;Estimé;125.00;Estimé;681.00;;
19;646.00;;308.00;Estimé;594.00;;183.00;Estimé;177.00;Estimé;148.00;Estimé;106.00;Estimé;112.00;Estimé;;Inconnu faible;116.00;Estimé;135.00;Estimé;642.00;;
20;654.00;;330.00;Estimé;626.00;;145.00;Estimé;187.00;Estimé;154.00;Estimé;99.00;Estimé;104.00;Estimé;;Inconnu faible;107.00;Estimé;155.00;Estimé;602.00;;
21;600.00;;362.00;Estimé;626.00;;171.00;Estimé;175.00;Estimé;189.00;Estimé;99.70;Estimé;97.30;Estimé;68.20;Estimé;114.00;Estimé;261.00;Estimé;599.00;;
22;602.00;;400.00;Estimé;591.00;;163.00;Estimé;151.00;Estimé;148.00;Estimé;108.00;Estimé;107.00;Estimé;79.70;Estimé;101.00;Estimé;160.00;Estimé;636.00;;
23;619.00;;384.00;Estimé;585.00;;156.00;Estimé;141.00;Estimé;135.00;Estimé;123.00;Estimé;106.00;Estimé;88.40;Estimé;121.00;Estimé;435.00;Estimé;684.00;;
24;615.00;;400.00;Estimé;582.00;;161.00;Estimé;119.00;Estimé;134.00;Estimé;113.00;Estimé;95.30;Estimé;95.10;Estimé;124.00;Estimé;611.00;;713.00;;
25;578.00;;413.00;Estimé;548.00;;197.00;Estimé;130.00;Estimé;121.00;Estimé;116.00;Estimé;97.70;Estimé;101.00;Estimé;110.00;Estimé;631.00;;742.00;;
26;550.00;;488.00;Estimé;542.00;;178.00;Estimé;136.00;Estimé;159.00;Estimé;114.00;Estimé;106.00;Estimé;103.00;Estimé;107.00;Estimé;643.00;;764.00;;
27;510.00;;616.00;;542.00;;165.00;Estimé;150.00;Estimé;187.00;Estimé;110.00;Estimé;110.00;Estimé;105.00;Estimé;108.00;Estimé;599.00;;844.00;;
28;552.00;;617.00;;575.00;;145.00;Estimé;133.00;Estimé;148.00;Estimé;103.00;Estimé;97.40;Estimé;103.00;Estimé;130.00;Estimé;587.00;;944.00;;
29;559.00;;;;640.00;;176.00;Estimé;110.00;Estimé;144.00;Estimé;102.00;Estimé;109.00;Estimé;106.00;Estimé;173.00;Estimé;574.00;;932.00;;
30;554.00;;;;620.00;;170.00;Estimé;144.00;Estimé;122.00;Estimé;108.00;Estimé;101.00;Estimé;112.00;Estimé;134.00;Estimé;619.00;;907.00;;
31;530.00;;;;611.00;;;;136.00;Estimé;;;107.00;Estimé;88.90;Estimé;;;115.00;Estimé;;;878.00;;
Procédure : QJM - Année : 1912

Code station;Libellé station;Bassin versant (km²);Producteur;E-mail;
H5920011;La Seine à Paris [Austerlitz avant création lacs];43800;DRIEE IDF;marc.valente@developpement-durable.gouv.fr;

Année;1912;
;
Débits mensuels en m3/s;
;QMM;QMN;V;
J;930.00;930.00; ;;
F;490.00;490.00;#;;
M;619.00;619.00;#;;
A;372.00;372.00;#;;
M;139.00;139.00;#;;
J;134.00;134.00;#;;
J;122.00;122.00;#;;
A;137.00;137.00;#;;
S;223.00;223.00;#;;
O;133.00;133.00;#;;
N;512.00;512.00;#;;
D;602.00;602.00;#;;

Statistiques;
;;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;1912
Ecoulement mensuel;Validité;;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;;
;Débit moyen (m3/s);930.00;490.00;619.00;372.00;139.00;134.00;122.00;137.00;223.00;133.00;512.00;602.00;368.00;
;Débit moyen spécifique (l/s/km2);21.20;11.20;14.10;8.49;3.18;3.07;2.78;3.13;5.10;3.03;11.70;13.80;8.40;
;Lame d'eau (mm);56.90;28.10;37.90;22.00;8.50;8.00;7.40;8.40;13.20;8.10;30.30;36.80;266.00;
;
Ecoulement naturel reconstitué;Débit moyen (m3/s);930.00;490.00;619.00;372.00;139.00;134.00;122.00;137.00;223.00;133.00;512.00;602.00;368.00;
;Débit moyen spécifique (l/s/km2);21.20;11.20;14.10;8.49;3.18;3.07;2.78;3.13;5.10;3.03;11.70;13.80;8.40;
;Lame d'eau (mm);56.90;28.10;37.90;22.00;8.50;8.00;7.40;8.40;13.20;8.10;30.30;36.80;266.00;
;
Maximum instantané;Débit (m3/s);1310.00;592.00;754.00;650.00;207.00;207.00;201.00;280.00;348.00;454.00;657.00;754.00;1310.00;
